mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,mean_test_score,std_test_score,rank_test_score,Model Type,Training Data
1.0215643882751464,0.0381299363097063,0.1945411205291748,0.0043180213051109,"{'C': 0.001, 'gamma': 'auto', 'kernel': 'poly'}",15.198985189508916,1.8519842973989584,49,SVM,Full Dataset
1.3012693405151368,0.0420133759295757,0.2785393714904785,0.0294007085845144,"{'C': 0.001, 'gamma': 'scale', 'kernel': 'sigmoid'}",15.271543356429104,1.8921896986712576,50,SVM,Full Dataset
1.3101503372192382,0.1051551338517893,0.2545045852661133,0.0097519987338705,"{'C': 0.001, 'gamma': 'auto', 'kernel': 'sigmoid'}",15.29096980122794,1.8973061722680515,51,SVM,Full Dataset
0.0185962677001953,0.0145906510349272,0.0036008834838867,0.0004904111818827,{'alpha': 10},15.305523635849738,2.1707455430041667,5,Lasso Regression,Full Dataset
0.0185962677001953,0.0145906510349272,0.0036008834838867,0.0004904111818827,{'alpha': 10},15.305523635849738,2.1707455430041667,5,Lasso Regression,Full Dataset
1.2400456428527833,0.0890493794438068,0.6205870628356933,0.0884351679167325,"{'C': 0.001, 'gamma': 'auto', 'kernel': 'rbf'}",15.49900842207391,1.9113378929564293,54,Random Forest,Subset Dataset
1.2024415016174317,0.0374873466111132,0.5799995422363281,0.0369637144860361,"{'C': 0.001, 'gamma': 'scale', 'kernel': 'rbf'}",15.499026163687038,1.9116025124867584,55,Random Forest,Subset Dataset
1.204969310760498,0.0446499387452264,1.266911554336548,1.286811053612594,"{'C': 0.001, 'gamma': 'auto', 'kernel': 'rbf'}",15.5416036692952,1.9109666459671408,52,SVM,Full Dataset
1.2355484008789062,0.0311157958302042,0.6286213874816895,0.040120156480608,"{'C': 0.001, 'gamma': 'scale', 'kernel': 'rbf'}",15.546201035891716,1.912122573561519,53,SVM,Full Dataset
141.3353264808655,16.641407676822418,0.15730562210083,0.0473056621127031,"{'C': 1000, 'gamma': 'auto', 'kernel': 'poly'}",20.00047805581776,4.888135448751028,54,SVM,Full Dataset
184.3548604011536,18.07542780032244,0.1467999458312988,0.0323092642802879,"{'C': 1000, 'gamma': 'scale', 'kernel': 'poly'}",21.23337565510699,6.120201324846766,55,SVM,Full Dataset
1.4297032833099366,0.1504400019934717,0.2650128364562988,0.0072447377488426,"{'C': 1, 'gamma': 'auto', 'kernel': 'sigmoid'}",35.93157058626485,6.156596078214291,56,SVM,Full Dataset
1.4366673946380617,0.1955150313953748,0.289601469039917,0.0338624808812534,"{'C': 1, 'gamma': 'scale', 'kernel': 'sigmoid'}",45.50638391820883,7.131971902573466,57,SVM,Full Dataset
1.341304874420166,0.0991124733681915,0.2683472633361816,0.0286980137488071,"{'C': 1, 'gamma': 'auto', 'kernel': 'sigmoid'}",100.1252516306905,5.815079674441668,56,Random Forest,Subset Dataset
