Player,Year,Salary
Freddie Gillespie,2021,221156
JaQuori McLaughlin,2021,220679
Tacko Fall,2021,218021
Petr Cornelie,2021,218021
Mychal Mulder,2021,210044
Damyean Dotson,2021,205662
Norvel Pelle,2021,191860
Rayjon Tucker,2021,191860
Tremont Waters,2021,191860
Brandon Williams,2021,180798
Moses Wright,2021,172821
DeJon Jarreau,2021,172821
Dakota Mathias,2021,171156
Matt Mooney,2021,171156
Daulton Hommes,2021,167504
Grant Riller,2021,162186
Xavier Moon,2021,159528
Lindy Waters III,2021,159527
Joe Johnson,2021,151821
CJ Miles,2021,151821
Ersan Ilyasova,2021,151821
Darren Collison,2021,151821
Anthony Tolliver,2021,151821
Chaundee Brown,2021,146234
Xavier Sneed,2021,146233
Mario Chalmers,2021,138019
Brandon Knight,2021,137336
Troy Williams,2021,122741
Matt Ryan,2021,111669
Emmanuel Mudiay,2021,111457
Mac McClung,2021,106352
Carlik Jones,2021,106352
Hassani Gravett,2021,106352
Paris Bass,2021,106352
Jordan Bell,2021,102831
Cheick Diallo,2021,102831
DJ Stewart,2021,101034
Derrick Walton,2021,95930
DaQuan Jeffries,2021,95930
Justin James,2021,95930
Jaylen Hoard,2021,95930
Scotty Hopson,2021,95930
BJ Johnson,2021,95930
Jaylen Morris,2021,95930
Juwan Morgan,2021,95930
Demetrius Jackson,2021,92857
Chris Clemons,2021,85578
Cameron Oliver,2021,85578
Malik Newman,2021,85578
George King,2021,85578
Nate Hinton,2021,85578
Reggie Perry,2021,85578
Jemerrio Jones,2021,85578
Emanuel Terry,2021,85578
Anthony Lamb,2021,85578
Anthony Barber,2021,53176
Malik Ellison,2021,53176
Justin Tillman,2021,53176
Tre Scott,2021,53176
Jaysean Paige,2021,53176
Trayvon Palmer,2021,53176
Micah Potter,2021,53176
Ahmad Caver,2021,53176
Shaq Buchanan,2021,53176
Jon Teske,2021,53176
Aric Holman,2021,53176
Javin DeLaurier,2021,53176
Feron Hunt,2021,53176
Tyler Hall,2021,53176
Rob Edwards,2021,53176
Aleem Ford,2021,53176
Braxton Key,2021,53176
MJ Walker,2021,53176
Jarron Cumberland,2021,53176
Cameron McGriff,2021,53176
Ade Murkey,2021,53176
Jaime Echenique,2021,53176
Jordan Goodwin,2021,53176
Jordan Schakel,2021,53176
Craig Sword,2021,53176
Jared Harper,2021,50517
Stephen Curry,2020,43006362
Chris Paul,2020,41358814
Russell Westbrook,2020,41358814
James Harden,2020,41254920
John Wall,2020,41254920
Kevin Durant,2020,40108950
LeBron James,2020,39219566
Paul George,2020,35450412
Klay Thompson,2020,35361360
Mike Conley,2020,34502132
Kemba Walker,2020,34379100
Kawhi Leonard,2020,34379100
Jimmy Butler,2020,34379100
Tobias Harris,2020,34358850
Blake Griffin,2020,33900241
Kyrie Irving,2020,33722850
Khris Middleton,2020,33051724
Anthony Davis,2020,32742000
Damian Lillard,2020,31626953
Kevin Love,2020,31258256
Ben Simmons,2020,30559200
Pascal Siakam,2020,30559200
Kyle Lowry,2020,30500000
Steven Adams,2020,29592695
Nikola Jokic,2020,29542010
Andrew Wiggins,2020,29542010
Joel Embiid,2020,29542010
Kristaps Porzingis,2020,29467800
Karl-Anthony Towns,2020,29467800
Devin Booker,2020,29467800
CJ McCollum,2020,29354152
Andre Drummond,2020,28751774
Bradley Beal,2020,28751774
D'Angelo Russell,2020,28649250
Gordon Hayward,2020,28500000
Otto Porter,2020,28489239
DeMar DeRozan,2020,27739975
Giannis Antetokounmpo,2020,27528088
Rudy Gobert,2020,27525281
Al Horford,2020,27500000
Jamal Murray,2020,27285000
Brandon Ingram,2020,27285000
Jrue Holiday,2020,27026011
Nikola Vucevic,2020,26000000
Jaylen Brown,2020,25035118
Buddy Hield,2020,24931817
Draymond Green,2020,22246956
Harrison Barnes,2020,22215909
Fred VanVleet,2020,21250000
Victor Oladipo,2020,21000000
Malcolm Brogdon,2020,20700000
Julius Randle,2020,19845000
Domantas Sabonis,2020,19800000
Gary Harris,2020,19610714
Danilo Gallinari,2020,19500000
Zach LaVine,2020,19500000
Jerami Grant,2020,19050000
Tim Hardaway Jr,2020,18975000
Terry Rozier,2020,18900000
Aaron Gordon,2020,18136364
Clint Capela,2020,18000000
Bogdan Bogdanovic,2020,18000000
Myles Turner,2020,18000000
Goran Dragic,2020,18000000
Bojan Bogdanovic,2020,17850000
LaMarcus Aldridge,2020,17628340
Gorgui Dieng,2020,17587688
Evan Fournier,2020,17150000
Ricky Rubio,2020,17000000
Eric Bledsoe,2020,16875000
Eric Gordon,2020,16869267
Caris LeVert,2020,16203704
Joe Harris,2020,16071429
James Johnson,2020,16047100
Dennis Schroeder,2020,15500000
Cody Zeller,2020,15415730
Danny Green,2020,15365853
Jonas Valanciunas,2020,15000000
Andre Iguodala,2020,15000000
Davis Bertans,2020,15000000
Marcus Morris,2020,14883721
Rudy Gay,2020,14500000
Kelly Oubre,2020,14375000
Dejounte Murray,2020,14286000
Will Barton,2020,13723214
Thaddeus Young,2020,13545000
Patrick Mills,2020,13535714
Terrence Ross,2020,13500000
Malik Beasley,2020,13425895
Patrick Beverley,2020,13333333
Christian Wood,2020,13015874
JJ Redick,2020,13013700
Justise Winslow,2020,13000000
Marcus Smart,2020,12946428
Jusuf Nurkic,2020,12888889
Kelly Olynyk,2020,12819650
Trevor Ariza,2020,12800000
Brook Lopez,2020,12697675
Dion Waiters,2020,12650000
Cory Joseph,2020,12600000
Markelle Fultz,2020,12288697
Taurean Prince,2020,12250000
Tony Snell,2020,12178571
Robert Covington,2020,12138345
Kentavious Caldwell-Pope,2020,12073020
TJ Warren,2020,12000000
Larry Nance Jr,2020,11709091
Nicolas Batum,2020,11608231
Jordan Clarkson,2020,11500000
Spencer Dinwiddie,2020,11454048
Dillon Brooks,2020,11400000
Dwight Powell,2020,11080125
