Year,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,ORTG,DRTG,TO_100_Games,Salary,Cap Maximum,Salary%OfCap,Traded,Center,Forward,Guard,Salary_Scaled,Salary_BoxCox,Salary_Scaled_BoxCox
2015,DeAndre Jordan,Lac,C,27.0,77,33.7,70.3,15.4,619,0.43,507,0.704,1,0.0,0.7026141732283464,0.628,12.7,13.8,22.2,1.2,5.3,0.68,2.29,7.1,,,12.1,19689000.0,70000000,0.2813,0,1,0,0,31618846.371428568,86.53718028956959,123.28501862775138
2016,Ty Lawson,Sac,PG,29.0,69,25.1,52.3,19.5,217,0.797,404,0.502,118,0.288,0.4210727969348659,0.551,9.9,2.6,6.0,4.8,29.9,1.07,0.09,7.9,,,17.299999999999997,1315448.0,94143000,0.014,0,0,0,1,1570746.327098138,53.79012617286871,68.87369500055392
2013,Klay Thompson,Gol,SG,23.0,81,35.2,72.8,22.8,185,0.795,724,0.464,535,0.417,0.3554277204130262,0.555,18.4,3.1,4.8,2.2,10.2,0.93,0.46,5.7,,,9.2,3245151.0,58679000,0.0553,0,0,0,1,6216881.755210552,63.17628387593048,90.14851234958203
2021,Willy Hernangomez,Nor,C-F,27.82,42,16.8,34.9,22.9,117,0.752,268,0.545,11,0.364,0.5306881720430108,0.593,9.3,6.8,22.4,1.2,11.8,0.45,0.4,10.1,122.7,100.6,12.0,2327220.0,112414000,0.0207,0,1,1,0,2327220.0,59.560593316066,74.4171343952862
2020,Louis King,Sac,F,22.11,6,14.2,29.6,20.5,6,1.0,23,0.565,11,0.364,0.44108823529411767,0.6,7.3,3.0,11.7,1.5,15.4,1.17,0.5,9.0,120.5,106.1,9.8,49222.0,109140000,0.0005,0,0,1,0,50698.569800256555,29.14691398492409,34.201104021987284
2020,Jarrell Brantley,Uta,F,24.94,28,4.9,10.3,19.0,2,1.0,24,0.542,28,0.429,0.3656538461538462,0.605,2.3,1.0,10.4,0.5,16.1,0.25,0.07,8.6,119.8,97.3,13.1,510586.0,109140000,0.0047,0,0,1,0,525902.6443467106,45.312528394280484,55.38749459534672
2018,Mario Hezonja,Nyk,F,24.12,58,20.8,43.3,21.3,114,0.763,312,0.478,152,0.276,0.3666206896551724,0.497,8.8,4.1,10.4,1.5,11.5,0.98,0.14,7.3,94.3,105.3,14.6,6500000.0,101869000,0.0638,0,0,1,0,7172849.443893628,71.3844910502184,92.68351139830999
2018,Caleb Swanigan,Por,F,21.98,21,9.55,19.85,16.65,9,0.4285,46,0.45199999999999996,7,0.1,0.37531691919191923,0.3885,2.3,3.45,18.9,0.8500000000000001,10.9,0.445,0.165,7.6000000000000005,85.75,92.95,21.1,1740000.0,101869000,0.0171,0,0,1,0,1920116.6203653712,56.55314077835561,71.6558529476136
2018,Blake Griffin,Det,F,30.07,75,35.0,72.8,30.2,550,0.753,819,0.525,522,0.362,0.3910939597315436,0.581,24.5,7.5,11.8,5.4,27.1,0.69,0.37,11.4,112.9,104.0,13.8,31873932.0,101869000,0.3129,0,0,1,0,35173371.603215896,94.01464099447114,125.81900545401503
2019,Frank Kaminsky,Pho,F-C,27.36,39,19.9,41.5,21.0,90,0.678,183,0.53,124,0.331,0.3827752442996743,0.545,9.7,4.5,12.6,1.9,14.3,0.38,0.26,8.8,109.5,104.2,9.6,4767000.0,109140000,0.0437,0,1,1,0,4910001.264431006,67.6067849560054,86.10831603241903
